Cohort,Gender,Age,Unoccupied,Solitary,Onlooker,Parallel,Associative,Cooperative,Predom,socparticip,degpos,bossy,socawk
3,1,4,0,28,1,0,0,1,S,3,#NULL!,#NULL!,#NULL!
3,1,4,0,22,0,2,0,6,S,3,#NULL!,#NULL!,#NULL!
3,1,4,4,4,4,0,18,0,A,5,#NULL!,#NULL!,#NULL!
3,1,4,0,5,0,6,19,0,A,5,#NULL!,#NULL!,#NULL!
5,1,3,3,4,3,2,3,15,C,5,3,2,1
5,2,3,15,12,1,0,2,0,U,4,2,1,2
5,2,4,1,1,0,0,0,28,C,5,4,2,1
5,2,4,0,2,1,11,15,1,A,2,2,1,2
5,2,4,0,0,2,23,5,0,P,3,2,1,2
5,1,4,0,0,0,0,0,30,C,4,3,1,2
5,2,4,0,3,3,8,11,4,A,4,4,2,1
5,1,4,4,4,6,3,2,11,C,4,3,2,1
5,1,5,0,0,0,0,0,30,C,5,3,2,1
5,1,3,0,2,1,4,8,15,C,5,3,2,1
5,2,3,0,9,0,0,5,16,C,4,2,1,2
5,2,4,7,0,0,0,0,23,C,5,4,2,1
5,2,4,2,4,2,21,1,0,P,2,2,1,2
5,2,4,0,0,0,5,25,0,A,3,2,1,2
5,1,4,0,0,0,8,10,12,C,4,3,1,2
5,2,4,0,3,11,11,3,2,P,4,4,2,1
5,1,4,9,9,0,6,3,3,S,4,3,2,1
5,1,5,0,0,0,0,0,30,C,5,3,2,1
6,1,5,0,4,6,5,6,9,C,4,3,1,1
6,1,5,0,7,3,1,18,1,A,4,3,1,1
6,2,4,2,2,0,0,0,26,C,5,4,1,1
6,2,4,3,2,0,0,0,25,C,5,4,1,1
6,2,3,2,5,5,2,9,8,A,3,2,2,2
6,2,3,1,4,0,4,7,14,C,3,2,2,2
6,1,5,0,8,4,4,3,10,C,5,3,1,1
6,1,5,3,8,1,4,0,14,C,5,3,1,1
6,2,4,5,10,7,8,0,0,S,4,4,1,1
6,2,4,0,24,6,0,0,0,S,4,4,1,1
6,2,4,1,0,16,0,5,8,O,3,3,2,2
6,2,4,2,12,5,5,5,1,S,3,3,2,2
6,1,4,9,2,6,1,7,5,U,3,2,2,2
6,1,4,4,3,4,0,12,7,A,3,2,2,2
6,2,3,7,13,5,0,4,1,S,2,1,2,1
6,2,3,4,15,7,4,0,0,S,2,1,2,1
6,2,4,0,8,5,0,0,17,C,2,2,1,2
6,2,4,0,9,9,2,2,8,O,2,2,1,2
